path	family	owner	develop_authority	next_contract	resolution	tests	depends_on	reviewer	status
.githooks/validate-policy.sh	build-policy	branch and commit policy	f2b27262f merge-trailer exemption	fd3ddf2a9 merge-content candidates; b6e320958 Mod API coupling and next refs	Union merge exemption with next content-candidate, Mod API pin, published-history, and next/develop/master rules; retain deleted-path inspection	TestBuildToolingGuard policy, merge, link, and Mod API cases; shell/PowerShell parity	Mod API descriptor and pins; CI event matrix	conflict_ledger_independent_review	reviewed
.github/workflows/ci.yml	build-policy	CI workflow	a47cbc549 guards on develop pushes; ebcd673bd full history; 325e8be61 session artifacts	b6e320958 destination-aware Mod API gates and next events	Keep next events/destination gates; use authenticated wrapper sessions, manifest report roots, full-history guards job, and separate -Pguards	TestBuildToolingGuard CI destination, coordinator, guards, and lightweight-push assertions	pom.xml; test-session tooling; validate-policy.sh	conflict_ledger_independent_review	reviewed
.github/workflows/release.yml	build-policy	release workflow	d942dafe2 fixture isolation; 3fabe6cb9 skip classification; 16fda38bb guard sessions; 325e8be61 artifacts	b6e320958 destination-aware release gates plus next native, universal, and Mod SDK delivery	Retain next delivery surface; adopt session manifests, separate guards, classified skips, trace exclusions, and session-owned publication	TestBuildToolingGuard releaseWorkflow, nativeRelease, and modApiDestination cases	pom.xml; artifact roots; test-session tooling	conflict_ledger_independent_review	reviewed
pom.xml	build-policy	Maven lifecycle	a91bb4cbc session guards; 27fb583be session outputs; 16fda38bb guard isolation; 78c1ba833 direct launcher	448355a5 Mod SDK; 0818c73eb converters and scaffolding; next native, editor, time-attack, and multiplayer dependencies	Preserve next dependencies/plugins; adopt JDK21, authenticated session roots, per-fork LWJGL, ordinary/guards split, and explicit hook install; no lifecycle git mutation	TestBuildToolingGuard; package selection; -Pguards selection	TestSessionCoordinator; workflows; wrappers	conflict_ledger_independent_review	reviewed
CHANGELOG.md	release-docs	release index	a6c620137 split immutable release changelogs and current 0.6 index	ad6d7560f next release and feature history	Use develop index as normative; retain only current 0.7 roadmap/status links and move monolithic 0.7 prose to its owning release artifact	documentation policy and link checks	README.md; split release changelogs	conflict_ledger_independent_review	reviewed
README.md	release-docs	public scope and release summary	a17adaba5 official-freeze 0.6 status	84d9a3761 complete-chain 0.7 gates and roadmap links	Preserve current 0.6 scope/status plus still-true 0.7 roadmap links; remove stale duplicated ledger prose	TestBuildToolingGuard supportedDocumentationMustUseSessionsAndExplicitHookBootstrap; link checks	CHANGELOG.md; status documents	conflict_ledger_independent_review	reviewed
docs/S3K_KNOWN_DISCREPANCIES.md	release-docs	S3K discrepancy ledger	712fb57fb current audio/runtime closure	58c994daa next S3K runtime and 0.7 feature facts	Semantic union of unresolved facts; retain live Super-Emerald, late-route, and mod gaps and remove anything fixed on either parent	relevant S3K focused tests; TestArchitecturalSourceGuard documentation assertions	merged S3K and audio behavior	conflict_ledger_independent_review	reviewed
docs/status/known-discrepancies.md	release-docs	cross-game discrepancy ledger	98b725968 current S2 ROM-ordering facts	99ad8f6f2 S2 native competition and next 0.7 facts	Union still-live Mod API, competition, and time-attack facts with develop corrections; never restore a closed discrepancy	TestArchitecturalSourceGuard documentation assertions; affected S2 tests	merged production and focused outcomes	conflict_ledger_independent_review	reviewed
docs/status/rewind-round-trip-gaps.md	release-docs	rewind validation status	a0ef4ab8e intentional deletion of generated probe inventory	eb13f76d7 next Super-Emerald rewind inventory	Delete stale 981/815 probe snapshot; migrate only still-current unique 0.7 identity facts into current rewind guards or validation artifacts	TestRewindArchitectureGuard; rewind coverage, static-state, and reference-closure guards	final object inventory and rewind graph	conflict_ledger_independent_review	reviewed
docs/status/s3k-known-bugs.md	release-docs	S3K bug ledger	712fb57fb current audio/runtime closure	2dad85fc6 LBZ Big Arm and late-route state	Keep only still-reproducible union; retain live next late-route gaps and remove develop-closed bugs and duplicate discrepancies	affected S3K focused tests and trace status checks	Tasks 6 and 8 resolved behavior	conflict_ledger_independent_review	reviewed
tools/testing/README.md	build-policy	test-session documentation	f4b4fbe15 quiet wrapper contract; 0aad10255 isolated process harness	835470bdc frozen-next adapter plus authenticated inventory and aggregation contracts	Semantic add/add synthesis: official install-hooks, wrapper, manifest/log, and harness usage first; then frozen-next adapter, selector inventory, complete outcomes, partitions, and disjoint-parallel rule	TestBuildToolingGuard supportedDocumentationMustUseSessionsAndExplicitHookBootstrap; adapter matrix and seam inventory	wrappers; coordinator; pom.xml; frozen adapter	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/audio/AudioBackend.java	audio-interface	presentation/backend port	Observer and playback-policy ports from a6cc2ee55 and db42e0204	Streamed track/SFX port, override replay bypass, and Mod API from a4f0aade4, d6009b2b8, 448355a5b	Union interface defaults: keep streamed methods and Mod API; add admission/service/chip/contention observers and policy-bearing playSfxSmps with inert compatible defaults	TestStreamedBackendIntegration,TestNamespacedMusicRouting,TestAudioDiagnosticObservers,TestAudioBackendLifetime,TestModApiSignatureSurface	PresentationVoiceSnapshot,AudioPresentationCommand,AudioCommand,AbstractSmpsData,DacData	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/audio/presentation/AudioPresentationCommand.java	audio-value	presentation command queue	Cross-game override, SFX, and PCM policies from 6cdf3fc24, f0c784380, f93aebc70, 72eef3191	StreamedVoiceDescriptor and streamed state from d6009b2b8	Permit Streamed, Sample, and Smps; retain policy fields and compatibility constructors on ReplaceMusic, PushMusicOverride, ReplaceRawPcm, StopMusic, FadeMusic; copy enhanced Sample fields	TestAudioPresentationCommandQueue,TestAudioPresentationCommandResolver,TestSegaPcmCommandRouting,TestStreamedMusicPort	PresentationVoiceSnapshot	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/audio/presentation/PresentationVoiceSnapshot.java	audio-value	rewind/presentation snapshot	SampleRenderMode, synth snapshot, and last DAC frame from 72eef3191	Opaque Streamed playback snapshot from d6009b2b8	Use sealed union Smps/Sample/Streamed; retain extended Sample plus legacy constructor and Streamed validation	TestAudioPresentationSnapshotParity,TestSegaPcmCommandRouting,TestStreamedMusicPort	none	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/audio/rewind/AudioCommand.java	audio-value	logical audio timeline	Music-during-override, retrigger, and system-command policies from 6cdf3fc24 and f0c784380	ModApi annotations and PlayNamespacedMusic/PlayNamespacedSfx from 052643e18 and 448355a5b	Union all command variants/components and compatibility constructors; namespaced commands remain rewindable logical commands	TestAudioCommandTimeline,TestAudioLogicalSnapshot,TestNamespacedMusicRouting,TestModApiSignatureSurface	GameAudioProfile policy enums	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/audio/smps/AbstractSmpsData.java	audio-data	SMPS program view	Zero-copy SmpsProgramView and bounded materialization from 4188935eb, bb4b716a4, 05ac8e6dc	Public ModApi annotation from 448355a5b	Use develop implementation and view accessors with ModApi retained; do not restore mutable-array hot-path ownership	TestFrozenSmpsDataImmutability,TestSmpsRepeatedPlaybackBenchmark,TestSmpsDriverSnapshotDescriptorDedupPerformance,TestModApiSignatureSurface	none	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/audio/smps/DacData.java	audio-data	immutable DAC catalog	Cloned Sample/accessor model and S2 DPCM cadence/base-cycle correction from b26f6841f and 3313e6119	Public ModApi class, DacEntry, and legacy surface from 448355a5b	Keep final immutable internal model/accessors and S2 timing; preserve annotated API compatibility through safe copied legacy views and public DacEntry compatibility without exposing internal arrays	TestDacDataImmutability,TestRomAudioIntegration,TestAudioPresentationArchitectureGuard,TestModApiSignatureSurface	none	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/audio/presentation/AudioPresentationSourceFactory.java	audio-source-owner	factory/catalog	Immutable registered catalog, generation keys, playback policy, bounded admission rollback, transactional diagnostics from c4543425, 646a931db, 9b2ee57c, 05ac8e6dc, f5f3b959b	Streamed port/track/SFX recreation and standalone sources from d6009b2b8 and a4f0aade4	Base on develop catalog/diagnostic transactions; add streamed recreation at the same owner-thread boundary; never bypass generation/policy or emit diagnostics for discarded preparation	TestSmpsAssetCatalog,TestSmpsSfxAdmissionAllocation,TestAudioDiagnosticObservers,TestAudioPresentationSourceParity,TestStreamedBackendIntegration	AudioPresentationCommand,PresentationVoiceSnapshot,AbstractSmpsData,DacData	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/audio/AbstractSmpsAudioBackend.java	audio-backend	producer/backend bridge	Registered playback policy, repeated S3K service cadence, priority latch, S1 SFX persistence, observers from c4543425, 44cdae3ee, 9b2ee57c, 646a931db, a6cc2ee55	Streamed port install/play/reset/bypass and one-shot pool from a4f0aade4 and d6009b2b8	Compose streamed routing ahead of stock fallback without replacing SMPS registration/admission/service observers; preserve replay bypass and teardown/reset; no singleton ownership	TestStreamedBackendIntegration,TestAudioManagerSfxCatalogReuse,TestAudioDiagnosticObservers,TestS3kVoiceResolution,TestSonic3kSmpsMetaCommandOperands	AudioBackend,AudioPresentationCommand,AudioPresentationSourceFactory	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/audio/AudioManager.java	audio-orchestrator	logical audio/session owner	Atomic ROM/policy/catalog publication, synchronized donor reset, command policies, diagnostics from c1bd7a68f, c92a0ebf1, 6cdf3fc24, f0c784380, f93aebc70, 2385087ab, 05ac8e6dc	Mod lifecycle, streamed namespace/invalidation, standalone sound test, single 1-up slot and override stack from 08500042d, 052643e18, a4f0aade4, aa3fee58d, c4af7f072	Use develop lifecycle/policy core; retain streamed/mod APIs and 1-up semantics; route through timeline/presentation and reset atomically with session/backend; preserve standalone isolation	TestAudioPresentationBoundary,TestLiveRewindManagerAudioCleanup,TestMusicOverrideRestore,TestNamespacedMusicRouting,TestStreamedBackendIntegration,TestAudioManagerResetState,TestAudioDiagnosticObservers,TestModApiSignatureSurface	All other audio rows	conflict_ledger_independent_review	reviewed
